age,sharing,n_swipes
60,0.067625,80
60,0.09075,52
60,0.246125,68
71,0.020125,5
71,0.0305,82
52,0.071625,54
67,0.02075,40
55,0.01875,76
56,0,95
61,0.057625,73
54,0.05625,70
61,0.074625,71
50,0,22
36,0.02275,85
43,0,8
72,-0.000625000000000007,44
60,0.1045,76
64,0.09375,100
64,0.035125,82
62,0.3325,42
54,0.078375,101
57,0,25
43,0.0415,63
60,0.034125,39
60,0.00837500000000001,91
42,0.011375,29
50,0.15,60
49,0,76
44,0.010375,8
62,0.144625,89
62,0.150375,40
58,0,47
56,0.0375,73
57,0,93
58,0.044875,46
51,0.05325,111
48,0.206625,57
35,0.01975,8
62,0.01775,68
44,0.16875,26
52,0.007375,45
71,0,73
67,0,84
71,0.13125,20
58,0.075375,3
50,0.038875,75
58,0.022125,6
58,0.032125,57
55,0,35
52,0.05525,78
40,0,12
52,0.05625,55
44,0.0345,30
36,0,57
55,0,76
47,0.0375,33
38,0,63
55,0.003,28
43,0.0375,95
55,0.05625,56
47,0.005,24
44,0.188875,27
47,0,34
57,0,50
51,0,74
45,0.011375,48
50,0,48
53,0.002375,0
55,0.032125,33
43,0.01875,9
46,0.005375,6
42,0.000625000000000014,69
51,0.153,8
58,0,57
61,0,54
39,0,5
46,0,36
41,0.017375,76
65,0,74
62,0.079375,86
70,0.13125,79
53,0.069625,95
55,0.037125,77
44,0.09375,9
63,0.01675,39
67,-0.000625000000000014,86
52,0.01875,98
69,0.01075,73
71,0.081375,78
42,0.1175,4
48,0.1845,48
40,0,60
40,0.207625,6
62,0,1
44,0.176125,0
39,0,57
68,0.01875,70
54,0.093375,11
62,0.172125,104
49,0.000374999999999993,52
68,0.01575,72
55,0.002375,80
32,0.035125,10
49,0,77
68,0.1165,104
40,0,7
42,0,43
69,0.01875,43
44,0.01875,56
43,0.048875,88
45,0.049875,48
57,0,99
57,0.011375,28
47,0,70
35,0.005,30
64,0,76
40,0.017375,69
46,0,70
44,0,14
57,0.008375,81
63,0.150375,11
44,0.09775,30
68,0.075,52
64,0.05725,71
54,0.00737499999999999,54
53,0,76
65,0,58
65,0,90
46,0.01875,72
46,0.030125,43
44,0,52
41,0,47
47,0.015375,25
42,0,88
65,0.05625,103
51,0,66
61,0.112875,37
48,0.1125,94
45,0,56
49,0.076375,52
57,0.071,45
45,0,77
44,0,104
62,0.020125,46
66,0,73
58,0.075,57
62,0.0375,69
57,0.110125,50
69,0,66
49,0.023125,53
55,0,84
51,0.1125,25
69,0.007375,53
61,0.1155,67
43,0.075375,58
67,0,79
53,0.023125,1
48,0,33
53,0,78
52,0.05625,6
64,-0.001,46
35,0.01775,89
36,0.05625,37
54,0.16575,29
40,0.143625,51
71,0.124875,5
66,-0.010375,50
61,0.01875,66
60,0,24
52,0.035125,43
58,0,98
